Time [ms], Peak Frequency [Hz], Duty Cycle, Energy, WindowRMS
1505233886431,8483.88671875,0.8100915311651143,6.076992993747946,0.02479300373280073
1505233886432,8483.88671875,0.7797226785376942,5.942799176342641,0.024203512094066997
1505233886433,8544.921875,0.7486994608111771,5.72031800053544,0.023341350528000283
1505233886434,8544.921875,0.7226081593800904,5.457177936681133,0.02247164424666968
1505233886435,8544.921875,0.7041359760489084,5.254049400585805,0.021764945295130282
1505233886436,8544.921875,0.7629837113025808,5.228761511178292,0.021418399950550285
1505233886437,8544.921875,0.7224736460825959,5.412528151949519,0.02161377998235521
1505233886438,8544.921875,0.6849934632966582,5.728495910556172,0.022163337207431535
1505233886439,8544.921875,0.6674410805055343,6.043212761650399,0.022695753949367528
1505233886440,8544.921875,0.6837474464454686,6.23793041692668,0.023529541950259296
1505233886441,8544.921875,0.7063921139766229,6.311306311354716,0.02437630324128124
1505233886442,8544.921875,0.7303020352621273,6.380426249299183,0.025163782358203657
1505233886443,8544.921875,0.7490830758895539,6.563166186505832,0.02568359194950198
1505233886444,8605.95703125,0.7652179768746213,6.876597397695762,0.02600643580457447
1505233886445,8605.95703125,0.7829706111115982,7.282635459418474,0.02625843738818463
1505233886446,8605.95703125,0.8013783286808918,7.5541867691066145,0.02644413127584979
1505233886447,8605.95703125,0.812580005525886,7.617598694780868,0.026519245523874562
1505233886448,8605.95703125,0.8031628104173908,7.4500189180365535,0.02645508739953762
1505233886449,8605.95703125,0.7835619230740646,7.173589547921213,0.026238205021247043
1505233886450,8605.95703125,0.7656272798885065,6.985902244805312,0.02590002395493076
1505233886451,8605.95703125,0.7588355049306098,7.0472424996974965,0.02573675822317947
1505233886452,8605.95703125,0.7595352530355847,7.400331920476663,0.025757956671558783
1505233886453,8605.95703125,0.7535371462740575,7.952317753369355,0.025550933191421633
1505233886454,8605.95703125,0.7532104730895895,8.500957772073688,0.025536844264817813
1505233886455,8605.95703125,0.7511826924109175,8.833883783949041,0.025447767066380928
1505233886456,8605.95703125,0.7253004776721295,8.82375064012496,0.025758939656318033
1505233886457,8605.95703125,0.7307114387126706,8.473837096978407,0.02600467897510951
1505233886458,8605.95703125,0.7341878618898603,7.910456036783477,0.026155239402158855
1505233886459,8605.95703125,0.7331512734028897,7.3097649797037825,0.026114052103571383
1505233886460,8605.95703125,0.7386405750367435,6.811161980635049,0.026280687441410884
1505233886461,8605.95703125,0.7519540840787787,6.468793834467976,0.026620709832431443
1505233886462,8605.95703125,0.7708018812468884,6.27310625397326,0.027049677075795902
1505233886463,8605.95703125,0.7907019350206314,6.171682021771698,0.027403410574699246
1505233886464,8605.95703125,0.8199541938657611,6.157675107162502,0.02778727283605199
